127.0.0.1 - - [15/Oct/2021:10:10:12 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Oct/2021:10:11:25 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreServlet?id_utente=1&data=2021/09/08&orario=12:30 HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [15/Oct/2021:10:12:37 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreServlet?id_utente=1&data=2021/09/08&orario=12:30 HTTP/1.1" 200 91
10.201.47.235 - - [15/Oct/2021:10:13:39 +0200] "POST /PJDM_mySugarLevel_v2/InsertValoreServlet?id_utente=1&data=2021/10/15&orario=13:30&valore=120&insulina=0&cibo=0 HTTP/1.1" 200 31
10.201.47.235 - - [15/Oct/2021:10:13:41 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021/10/15 HTTP/1.1" 200 93
10.201.47.235 - - [15/Oct/2021:10:14:17 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021/10/15 HTTP/1.1" 200 93
10.201.47.235 - - [15/Oct/2021:10:14:20 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021/10/14 HTTP/1.1" 200 337
10.201.47.235 - - [15/Oct/2021:10:14:53 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021/10/15 HTTP/1.1" 200 93
10.201.47.235 - - [15/Oct/2021:10:15:35 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021-10-15 HTTP/1.1" 200 93
10.201.47.235 - - [15/Oct/2021:10:15:40 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021-10-15 HTTP/1.1" 200 93
10.201.47.235 - - [15/Oct/2021:10:15:49 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByDateServlet?id_utente=1&data1=2021/10/08&data2=2021/10/15 HTTP/1.1" 200 1145
10.201.47.235 - - [15/Oct/2021:10:15:56 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByDateServlet?id_utente=1&data1=2021/10/08&data2=2021/10/15 HTTP/1.1" 200 1145
10.201.47.235 - - [15/Oct/2021:10:16:08 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByDateServlet?id_utente=1&data1=2021/10/08&data2=2021/10/15 HTTP/1.1" 200 1145
10.201.47.235 - - [15/Oct/2021:10:16:19 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByDateServlet?id_utente=1&data1=2021/10/08&data2=2021/10/15 HTTP/1.1" 200 1145
10.201.47.235 - - [15/Oct/2021:10:16:38 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByDateServlet?id_utente=1&data1=2021/10/08&data2=2021/10/15 HTTP/1.1" 200 1145
10.201.47.235 - - [15/Oct/2021:10:17:02 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByDateServlet?id_utente=1&data1=2021/10/08&data2=2021/10/15 HTTP/1.1" 200 1145
10.201.47.235 - - [15/Oct/2021:10:17:17 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021/10/15 HTTP/1.1" 200 93
10.201.47.235 - - [15/Oct/2021:10:17:20 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021/10/14 HTTP/1.1" 200 337
10.201.47.235 - - [15/Oct/2021:10:17:41 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021/10/15 HTTP/1.1" 200 93
10.201.47.235 - - [15/Oct/2021:10:19:23 +0200] "GET /PJDM_mySugarLevel_v2/LoadValoreByUnaDataServlet?id_utente=1&data=2021/10/15 HTTP/1.1" 200 93
